g band,r band,age [Gyr]
-8.827449,-9.608106,6.936815572540529
-8.296367,-9.078221,7.007535247349518
-8.690874,-9.430793,4.699190058769345
-8.610173,-9.354986,4.887617948013704
-7.780007,-8.673051,7.229164254607342
-8.074164,-8.837567,5.8259186950035815
-8.615772,-9.360336,4.8778405601601715
-8.397552,-9.179671,7.023247383916045
-8.693984,-9.471405,6.85072307283064
-8.163589,-9.087709,7.205659572027536
-8.550843,-9.334534,7.117255203226479
-9.099699,-9.847417,5.012671455877676
-7.8783054,-8.662911,7.1697034171122445
-8.621692,-9.455297,5.978033882730653
-8.4984865,-9.34635,5.0618006780660245
-8.448143,-9.230627,7.044930028583267
-7.7783365,-8.702767,7.209213959777775
-8.611967,-9.355364,4.832322138496314
-8.200656,-8.976334,6.663888387843094
-8.4526615,-9.1917925,4.591430051767945
-8.556191,-9.394525,6.876400524342763
-8.334334,-9.104519,6.346033315250263
-8.404713,-9.155828,5.167082255970492
-8.046385,-8.828474,7.021410637639395
-7.894726,-8.661884,6.14746654996589
-8.464519,-9.309306,7.233401261520509
-7.771653,-8.542975,6.418142202929498
-7.911863,-8.748492,6.749347537887592
-8.295173,-9.067703,6.485658340531859
-8.2329855,-9.104018,6.54144816452105
-8.638122,-9.386809,5.056172026394581
-8.315713,-9.161361,7.218480775173018
-8.437259,-9.3090515,7.207539419642524
-8.151555,-8.956282,7.2436985667939195
-8.280974,-9.161099,4.931124585438612
-8.56015,-9.36132,7.240769540891362
-8.384736,-9.155002,6.351418904450192
-8.240918,-9.013259,6.475028381580948
-8.492364,-9.243072,5.147930908081815
-8.232883,-9.004578,6.43880150437556
-8.314922,-9.060547,4.920159371605907
-8.567764,-9.418929,6.50935518260157
-8.366614,-9.109265,7.368959483226631
-8.814312,-9.592859,6.818652049273416
-8.401105,-9.286795,7.181350454457346
-8.393641,-9.26386,7.194700659712306
-8.344052,-9.236988,7.210643120420782
-8.240144,-8.979247,4.6590832157011
-8.19277,-8.966179,6.535284651621706
-8.185926,-8.993556,7.240972825278507
-8.279506,-9.139014,6.644578786962192
-8.119021,-9.026976,7.198464514538688
-8.337068,-9.120506,7.102045210435541
-8.349181,-9.123379,6.580099852111758
-8.163749,-8.920535,5.455172032402356
-8.2807865,-9.171873,8.751952588016312
-8.494558,-9.279312,7.177661470932469
-8.379447,-9.16483,7.211460336063249
-8.419568,-9.334069,7.181187175007901
-8.254481,-9.136074,7.131614019943186
-7.891036,-8.665805,6.612830716090787
-8.750873,-9.553276,7.237431921117543
-9.093756,-9.921307,5.046919940487738
-8.376906,-9.143139,6.054408962081727
-8.287137,-9.0459,5.561039096543881
-8.333808,-9.149359,7.280349585970648
-8.174912,-9.097682,6.475737299893862
-8.929968,-9.672598,4.802643233053155
-8.672015,-9.414979,4.815546191315056
-8.405787,-9.250073,7.2458955402807526
-7.886885,-8.80708,6.676393526916901
-8.088194,-8.921808,6.83299586120899
-8.652408,-9.433571,6.966617892370229
-9.229036,-9.968187,4.5414191511856234
-8.336372,-9.092006,5.394645867194386
-8.087193,-8.9836445,6.147833293570383
-8.731926,-9.515979,7.243495286360734
-8.454319,-9.244035,7.2481315702209095
-8.191493,-8.975549,7.13927855119303
-8.459589,-9.232873,6.528235940860683
-7.4833045,-8.3239765,7.246586485191471
-8.507468,-9.254209,4.969228700100032
-8.399564,-9.17249,6.507942158634705
-8.047404,-8.795779,5.042089971215992
-8.685522,-9.453251,6.822752841151648
-8.243818,-9.173167,6.560442328673218
-8.890364,-9.670949,6.932598543026267
-8.641103,-9.425841,7.1768411419382
-8.256416,-9.030132,6.5527079066296325
-8.292822,-9.047552,5.34836556695368
-8.35874,-9.261654,7.138537247345083
-8.563882,-9.3476715,7.1231999587804244
-8.482976,-9.239076,5.4188921308164115
-8.152547,-8.9124565,5.623416920473149
-9.004774,-9.886163,4.872745233890608
-7.816201,-8.692118,7.236944221310664
-8.171814,-8.944069,6.47024125054911
-8.114597,-8.907857,6.666322039818501
-8.443617,-9.222723,6.849190756621593
-8.326637,-9.085386,5.5602673174736115
-7.686579,-8.586179,6.752790693978253
-8.223307,-9.047534,6.813010959646523
-8.464655,-9.236476,6.445915645040976
-7.9112115,-8.780303,7.238042765195386
-8.622066,-9.447589,4.940051801998472
-8.271254,-9.0767975,6.854469146943758
-7.9464746,-8.869341,6.853618303397012
-7.944493,-8.728211,7.118907196050825
-8.93001,-9.671205,4.747619204507181
-7.871772,-8.705614,10.482497592730255
-8.493738,-9.247038,5.275850126549555
-7.759324,-8.59532,6.7617373502178175
-7.6099935,-8.491804,7.224598703025035
-8.397991,-9.181116,7.083242777138675
-8.278677,-9.046577,6.19678570697508
-8.065601,-8.831219,5.993463615735016
-8.642264,-9.387025,4.88558174344336
-8.1342535,-8.906144,6.449826219696664
-8.065491,-8.896024,7.238246053518596
-8.513144,-9.258406,4.905321968793928
-8.156557,-9.07003,7.199854673245215
-8.580761,-9.4225445,6.984751998554014
-8.244857,-9.003183,5.537465354107491
-8.80085,-9.584727,7.128480433091823
-8.204609,-9.117723,5.674761732807147
-8.299233,-9.1843405,7.143972749058459
-8.414589,-9.159032,4.873152959530428
-8.578438,-9.361034,7.051591242856166
-8.03151,-8.936483,7.2063946998536075
-9.171323,-9.912836,4.759751599477827
-8.589528,-9.372878,7.096748318420714
-8.631102,-9.410971,6.891161404260756
-8.197926,-8.983387,7.21570567918011
-8.688476,-9.432565,4.859284157217806
-8.554996,-9.339001,7.136230187634987
-7.960961,-8.831765,6.674657166685211
-8.325363,-9.110588,7.202962443241043
-8.750749,-9.493171,4.794649303852932
-8.537025,-9.452908,7.160258646172133
-8.598312,-9.449098,6.498751217006709
-8.644458,-9.385085,4.726001352316924
-7.8900466,-8.7926035,6.913679937762459
-8.503868,-9.272123,6.882681092524162
-8.457939,-9.258198,7.270300301939894
-8.28003,-9.087785,8.47992065052458
-7.8961625,-8.753358,6.94979323230687
-8.415128,-9.198854,7.119402106279618
-8.115096,-8.929562,6.970314696589674
-8.208395,-9.060393,6.749002829824792
-8.451885,-9.225285,6.534755849146226
-8.628052,-9.383418,5.38093664255355
-9.020192,-9.760133,4.700015521609277
-7.843819,-8.733678,7.076439760539029
-8.188274,-9.067839,7.226230041737596
-8.820633,-9.64106,6.7065431320203786
-8.643153,-9.407514,5.883114096155231
-8.121015,-8.997986,4.928891056066984
-8.176197,-9.096718,6.9317547385327
-8.222909,-9.148565,7.1619024022499325
-7.864166,-8.668767,7.241298275151093
-8.3199835,-9.184547,7.197482988359971
-8.277887,-9.185174,5.460623507441104
-8.487115,-9.25217,5.938148041114092
-9.000102,-9.772918,6.5017574013971275
-8.177944,-9.074678,7.200263311006192
-8.468061,-9.238915,6.39047059910121
-8.573468,-9.354309,6.947603574136909
-8.2801695,-9.023339,4.823527618691648
-7.5521164,-8.507747,10.310485011479326
-8.278271,-9.155227,6.7037745896942225
-7.963669,-8.797469,10.478117067885442
-8.651278,-9.459394,7.237391849653749
-8.400939,-9.184333,7.099396294009273
-8.565928,-9.339105,6.5220637233163705
-7.911758,-8.766211,6.7627685204175805
-8.159706,-9.04301,8.49796754654989
-8.571511,-9.457399,7.229735060544028
-8.590259,-9.374309,7.138948974547344
-8.402733,-9.304205,6.704121269817469
-8.316878,-9.086097,6.282440832324839
-8.496039,-9.2778015,7.00201285255116
-7.9687843,-8.8504715,6.671532108014527
-8.4409075,-9.270392,7.239589899246889
-8.282536,-9.055676,6.520123838768894
-8.444846,-9.26573,7.2353560088934215
-8.4400215,-9.278494,7.228023613342787
-7.5211477,-8.4544525,7.20872421005415
-8.64565,-9.402296,5.447769173794526
-8.172329,-9.073398,6.374187804859318
-8.222066,-9.147318,7.200999442756803
-8.353114,-9.137816,7.174872921725524
-8.783612,-9.523591,4.7014598712512345
-8.425559,-9.197796,6.4691778850395805
-8.446466,-9.227615,7.242966560388716
-8.35478,-9.136965,7.245244661174319
-8.117193,-9.024373,6.221539353540505
-8.703484,-9.44934,4.930312208031554
-8.517502,-9.302217,7.175528997835316
-8.55218,-9.374037,7.233645606411473
-8.998982,-9.743468,4.874783890168565
-8.301726,-9.081751,6.899803048867748
-7.612296,-8.460386,7.23368665631201
-8.405018,-9.188623,7.112132853561728
-8.461888,-9.230866,7.301704060393392
-8.643629,-9.491403,6.912834124859049
-8.693941,-9.482098,7.235274887412351
-7.7280674,-8.531614,6.840329654666636
-8.636816,-9.376784,4.701047607891464
-8.120457,-8.904774,7.154257477134067
-7.4284267,-8.381706,10.08246375353048
-8.521519,-9.369647,7.181268325893177
-8.606345,-9.38989,7.108496161945739
-8.745414,-9.48452,4.652870812417479
-8.614372,-9.360303,4.933559852973637
-7.893393,-8.779272,6.7761706669618
-8.142803,-9.077011,7.179465397577423
-8.326554,-9.205299,7.217420203998873
-8.253149,-9.15514,7.188314604467525
-8.655056,-9.44771,7.239263468080832
-8.650595,-9.430727,6.906067543808317
-7.580445,-8.462815,5.733869033517646
-7.9479146,-8.752322,7.244187220471615
-7.978818,-8.7640295,7.24178693720628
-7.944428,-8.853556,7.143478886404847
-8.126994,-9.038291,7.2038608398244115
-8.007836,-8.906314,7.216359625156761
-8.370328,-9.279136,7.2063946998536075
-8.741414,-9.526121,7.175119317243102
-8.287039,-9.10812,7.24060730410213
-8.052788,-8.814988,5.754768592560266
-8.204849,-9.089431,6.563603490339991
-8.749742,-9.522992,6.526297018600946
-8.813323,-9.5917635,6.812839601185817
-8.901126,-9.648983,5.018923349894552
-8.7499485,-9.5349865,7.192899842399795
-8.211161,-8.994353,7.087304517209383
-7.9427996,-8.876951,7.196664719173165
-8.2696085,-9.14692,7.225332758852641
-8.936125,-9.675247,4.611801654930723
-7.9810705,-8.754203,6.519594068121298
-8.553991,-9.3279915,6.568871135426289
-9.146849,-9.919356,6.484418689925411
-8.15971,-8.997005,7.227126341619868
-8.091927,-8.953901,8.803021250766395
-8.244454,-9.118545,7.223131557656361
-8.723207,-9.465657,4.79567447434761
-8.357509,-9.265157,7.1607514813717845
-8.866456,-9.649535,7.080505554863096
-8.307878,-9.20431,7.157957751178973
-8.632825,-9.407871,6.628718430350757
-7.9904757,-8.832502,7.23409324516351
-8.1380825,-9.064448,7.129965079542383
-8.65738,-9.440738,7.097244266439542
-8.842135,-9.606483,5.882363367244901
-8.06904,-8.842434,6.534404293627525
-7.6449127,-8.54416,6.729868399437921
-8.66986,-9.44295,6.517299705747676
-8.2638645,-9.011943,5.028799520992658
-8.693852,-9.476654,7.063899453238676
-8.648776,-9.415748,6.1285905166853665
-8.498708,-9.273431,6.6102090517366605
-8.470345,-9.288071,9.114159458886682
-8.465203,-9.217372,5.219201037896344
-8.082801,-8.977006,7.228185864494868
-8.558737,-9.340592,7.007535247349518
-8.374783,-9.244259,7.178809337747341
-8.804478,-9.545722,4.749469722753476
-8.51957,-9.291471,6.450358859457977
-7.6432652,-8.526235,8.727168085604323
